# slug,chinese_name,english_name,scientific_name,wikipedia_page
willow_tit,褐头山雀,Willow Tit,Poecile montanus,Willow_Tit
baers_pochard,青头潜鸭,Baer's Pochard,Aythya baeri,Baer's_Pochard
baikal_teal,花脸鸭,Baikal Teal,Sibirionetta formosa,Baikal_Teal
barn_swallow,家燕,Barn Swallow,Hirundo rustica,Barn_Swallow
bean_goose,豆雁,Bean Goose,Anser fabalis,Bean_Goose
black_faced_bunting,灰头鹀,Black-faced Bunting,Emberiza spodocephala,Black-faced_Bunting
black_legged_kittiwake,三趾鸥,Black-legged Kittiwake,Rissa tridactyla,Black-legged_Kittiwake
black_necked_grebe,黑颈䴙䴘,Black-necked Grebe,Podiceps nigricollis,Black-necked_Grebe
black_stork,黑鹳,Black Stork,Ciconia nigra,Black_Stork
bohemian_waxwing,太平鸟,Bohemian Waxwing,Bombycilla garrulus,Bohemian_Waxwing
chinese_merganser,中华秋沙鸭,Chinese Merganser,Mergus squamatus,Chinese_Merganser
common_goldeneye,鹊鸭,Common Goldeneye,Bucephala clangula,Common_Goldeneye
common_house_martin,毛脚燕,Common House Martin,Delichon urbicum,Common_House_Martin
common_merganser,普通秋沙鸭,Common Merganser,Mergus merganser,Common_Merganser
common_pheasant,环颈雉,Common Pheasant,Phasianus colchicus,Common_Pheasant
eurasian_nuthatch,普通䴓,Eurasian Nuthatch,Sitta europaea,Eurasian_Nuthatch
ferruginous_duck,白眼潜鸭,Ferruginous Duck,Aythya nyroca,Ferruginous_Duck
greater_scaup,斑背潜鸭,Greater Scaup,Aythya marila,Greater_Scaup
japanese_grosbeak,黑头蜡嘴雀,Japanese Grosbeak,Eophona personata,Japanese_Grosbeak
lesser_white_fronted_goose,小白额雁,Lesser White-fronted Goose,Anser erythropus,Lesser_White-fronted_Goose
peregrine_falcon,游隼,Peregrine Falcon,Falco peregrinus,Peregrine_Falcon
pied_harrier,鹊鹞,Pied Harrier,Circus melanoleucos,Pied_Harrier
red_throated_thrush,赤颈鸫,Red-throated Thrush,Turdus ruficollis,Red-throated_Thrush
