# slug,chinese_name,english_name,scientific_name,wikipedia_page
collared_treepie,"黑额树鹊","Collared Treepie","Dendrocitta frontalis",Collared_Treepie
common_green_magpie,"蓝绿鹊","Common Green Magpie","Cissa chinensis",Common_Green_Magpie
common_hill_myna,"鹩哥","Common Hill Myna","Gracula religiosa",Common_Hill_Myna
common_reed_bunting,"芦鹀","Common Reed Bunting","Emberiza schoeniclus",Common_Reed_Bunting
common_snipe,"扇尾沙锥","Common Snipe","Gallinago gallinago",Common_Snipe
coral_billed_scimitar_babbler,"红嘴钩嘴鹛","Coral-billed Scimitar Babbler","Pomatorhinus ferruginosus",Coral-billed_Scimitar_Babbler
crested_finchbill,"凤头雀嘴鹎","Crested Finchbill","Spizixos canifrons",Crested_Finchbill
crested_serpent_eagle,"蛇雕","Crested Serpent Eagle","Spilornis cheela",Crested_Serpent_Eagle
dark_necked_tailorbird,"黑喉缝叶莺","Dark-necked Tailorbird","Orthotomus atrogularis",Dark-necked_Tailorbird
daurian_starling,"北椋鸟","Daurian Starling","Agropsar sturninus",Daurian_Starling
eastern_yellow_wagtail,"黄鹡鸰","Eastern Yellow Wagtail","Motacilla tschutschensis",Eastern_Yellow_Wagtail
emerald_dove,"绿翅金鸠","Emerald Dove","Chalcophaps indica",Emerald_Dove
flavescent_bulbul,"黄绿鹎","Flavescent Bulbul","Pycnonotus flavescens",Flavescent_Bulbul
fujian_niltava,"棕腹大仙鹟","Fujian Niltava","Niltava davidi",Fujian_Niltava
golden_babbler,"金头穗鹛","Golden Babbler","Cyanoderma chrysaeum",Golden_Babbler
golden_fronted_leafbird,"金额叶鹎","Golden-fronted Leafbird","Chloropsis aurifrons",Golden-fronted_Leafbird
great_indian_hornbill,"双角犀鸟","Great Indian Hornbill","Buceros bicornis",Great_Indian_Hornbill
great_slaty_woodpecker,"大灰啄木鸟","Great Slaty Woodpecker","Mulleripicus pulverulentus",Great_Slaty_Woodpecker
greater_flameback,"大金背啄木鸟","Greater Flameback","Chrysocolaptes guttacristatus",Greater_Flameback
greater_necklaced_laughingthrush,"黑领噪鹛","Greater Necklaced Laughingthrush","Pterorhinus pectoralis",Greater_Necklaced_Laughingthrush
greater_racket_tailed_drongo,"大盘尾","Greater Racket-tailed Drongo","Dicrurus paradiseus",Greater_Racket-tailed_Drongo
greater_yellow_naped_woodpecker,"大黄冠啄木鸟","Greater Yellow-naped Woodpecker","Chrysophlegma flavinucha",Greater_Yellow-naped_Woodpecker
grey_backed_shrike,"灰背伯劳","Grey-backed Shrike","Lanius tephronotus",Grey-backed_Shrike
grey_bellied_tesia,"灰腹地莺","Grey-bellied Tesia","Tesia cyaniventer",Grey-bellied_Tesia
grey_breasted_prinia,"灰胸山鹪莺","Grey-breasted Prinia","Prinia hodgsonii",Grey-breasted_Prinia
grey_bushchat,"灰林䳭","Grey Bushchat","Saxicola ferreus",Grey_Bushchat
grey_eyed_bulbul,"灰眼短脚鹎","Grey-eyed Bulbul","Iole propinqua",Grey-eyed_Bulbul
grey_headed_canary_flycatcher,"方尾鹟","Grey-headed Canary-flycatcher","Culicicapa ceylonensis",Grey-headed_Canary-flycatcher
grey_headed_lapwing,"灰头麦鸡","Grey-headed Lapwing","Vanellus cinereus",Grey-headed_Lapwing
grey_peacock_pheasant,"灰孔雀雉","Grey Peacock Pheasant","Polyplectron bicalcaratum",Grey_Peacock_Pheasant
grey_sibia,"灰奇鹛","Grey Sibia","Heterophasia gracilis",Grey_Sibia
grey_sided_laughingthrush,"灰胁噪鹛","Grey-sided Laughingthrush","Pterorhinus caerulatus",Grey-sided_Laughingthrush
grey_sided_scimitar_babbler,"华南斑胸钩嘴鹛","Grey-sided Scimitar Babbler","Erythrogenys swinhoei",Grey-sided_Scimitar_Babbler
grey_throated_babbler,"黑头穗鹛","Grey-throated Babbler","Stachyris nigriceps",Grey-throated_Babbler
grey_treepie,"灰树鹊","Grey Treepie","Dendrocitta formosae",Grey_Treepie
grey_winged_blackbird,"灰翅鸫","Grey-winged Blackbird","Turdus boulboul",Grey-winged_Blackbird
hainan_blue_flycatcher,"海南蓝仙鹟","Hainan Blue Flycatcher","Cyornis hainanus",Hainan_Blue_Flycatcher
hair_crested_drongo,"发冠卷尾","Hair-crested Drongo","Dicrurus hottentottus",Hair-crested_Drongo
hill_blue_flycatcher,"山蓝仙鹟","Hill Blue Flycatcher","Cyornis whitei",Hill_Blue_Flycatcher
himalayan_bush_robin,"蓝眉林鸲","Himalayan Bush-robin","Tarsiger rufilatus",Himalayan_Bush-robin
himalayan_buzzard,"喜山鵟","Himalayan Buzzard","Buteo refectus",Himalayan_Buzzard
himalayan_shortwing,"喜山蓝短翅鸫","Himalayan Shortwing","Brachypteryx cruralis",Himalayan_Shortwing
imperial_pigeon,"山皇鸠","Imperial Pigeon","Ducula badia",Imperial_Pigeon
indian_white_eye,"灰腹绣眼鸟","Indian White-eye","Zosterops palpebrosus",Indian_White-eye
indochinese_yuhina,"栗颈凤鹛","Indochinese Yuhina","Staphida torqueola",Indochinese_Yuhina
jerdons_baza,"褐冠鹃隼","Jerdon's Baza","Aviceda jerdoni",Jerdon's_Baza
kalij_pheasant,"黑鹇","Kalij Pheasant","Lophura leucomelanos",Kalij_Pheasant
large_niltava,"大仙鹟","Large Niltava","Niltava grandis",Large_Niltava
large_scimitar_babbler,"长嘴钩嘴鹛","Large Scimitar Babbler","Erythrogenys hypoleucos",Large_Scimitar_Babbler
large_woodshrike,"钩嘴林鵙","Large Woodshrike","Tephrodornis virgatus",Large_Woodshrike
lesser_necklaced_laughingthrush,"小黑领噪鹛","Lesser Necklaced Laughingthrush","Garrulax monileger",Lesser_Necklaced_Laughingthrush
lesser_yellow_naped_woodpecker,"黄冠啄木鸟","Lesser Yellow-naped Woodpecker","Picus chlorolophus",Lesser_Yellow-naped_Woodpecker
little_pied_flycatcher,"小斑姬鹟","Little Pied Flycatcher","Ficedula westermanni",Little_Pied_Flycatcher
long_tailed_broadbill,"长尾阔嘴鸟","Long-tailed Broadbill","Psarisomus dalhousiae",Long-tailed_Broadbill
long_tailed_minivet,"长尾山椒鸟","Long-tailed Minivet","Pericrocotus ethologus",Long-tailed_Minivet
long_tailed_sibia,"长尾奇鹛","Long-tailed Sibia","Heterophasia picaoides",Long-tailed_Sibia
maroon_oriole,"朱鹂","Maroon Oriole","Oriolus traillii",Maroon_Oriole
mountain_bamboo_partridge,"棕胸竹鸡","Mountain Bamboo Partridge","Bambusicola fytchii",Mountain_Bamboo_Partridge
mountain_bulbul,"绿翅短脚鹎","Mountain Bulbul","Ixos mcclellandii",Mountain_Bulbul
mountain_scops_owl,"黄嘴角鸮","Mountain Scops Owl","Otus spilocephalus",Mountain_Scops_Owl
mrs_goulds_sunbird,"蓝喉太阳鸟","Mrs. Gould's Sunbird","Aethopyga gouldiae",Mrs._Gould's_Sunbird
nepal_fulvetta,"白眶雀鹛","Nepal Fulvetta","Alcippe nipalensis",Nepal_Fulvetta
northern_hawk_cuckoo,"北棕腹鹰鹃","Northern Hawk-cuckoo","Hierococcyx hyperythrus",Northern_Hawk-cuckoo
northern_pintail,"针尾鸭","Northern Pintail","Anas acuta",Northern_Pintail
orange_bellied_leafbird,"西南橙腹叶鹎","Orange-bellied Leafbird","Chloropsis hardwickii",Orange-bellied_Leafbird
oriental_darter,"黑腹蛇鹈","Oriental Darter","Anhinga melanogaster",Oriental_Darter
oriental_hobby,"猛隼","Oriental Hobby","Falco severus",Oriental_Hobby
oriental_pied_hornbill,"冠斑犀鸟","Oriental Pied Hornbill","Anthracoceros albirostris",Oriental_Pied_Hornbill
pale_blue_flycatcher,"纯蓝仙鹟","Pale Blue Flycatcher","Cyornis unicolor",Pale_Blue_Flycatcher
pale_thrush,"白腹鸫","Pale Thrush","Turdus pallidus",Pale_Thrush
pied_bushchat,"白斑黑石䳭","Pied Bushchat","Saxicola caprata",Pied_Bushchat
pin_striped_tit_babbler,"纹胸鹛","Pin-striped Tit-babbler","Mixornis gularis",Pin-striped_Tit-babbler
pin_tailed_green_pigeon,"针尾绿鸠","Pin-tailed Green Pigeon","Treron apicauda",Pin-tailed_Green_Pigeon
puff_throated_babbler,"棕头幽鹛","Puff-throated Babbler","Pellorneum ruficeps",Puff-throated_Babbler
puff_throated_bulbul,"白喉冠鹎","Puff-throated Bulbul","Alophoixus pallidus",Puff-throated_Bulbul
purple_heron,"草鹭","Purple Heron","Ardea purpurea",Purple_Heron
pygmy_cupwing,"小鳞胸鹪鹛","Pygmy Cupwing","Pnoepyga pusilla",Pygmy_Cupwing
red_billed_scimitar_babbler,"棕头钩嘴鹛","Red-billed Scimitar Babbler","Pomatorhinus ochraceiceps",Red-billed_Scimitar_Babbler
red_billed_starling,"丝光椋鸟","Red-billed Starling","Spodiopsar sericeus",Red-billed_Starling
red_junglefowl,"红原鸡","Red Junglefowl","Gallus gallus",Red_Junglefowl
red_tailed_laughingthrush,"红尾噪鹛","Red-tailed Laughingthrush","Trochalopteron milnei",Red-tailed_Laughingthrush
red_vented_bulbul,"黑喉红臀鹎","Red-vented Bulbul","Pycnonotus cafer",Red-vented_Bulbul
rosy_pipit,"粉红胸鹨","Rosy Pipit","Anthus roseatus",Rosy_Pipit
rufous_backed_sibia,"栗背奇鹛","Rufous-backed Sibia","Leioptila annectens",Rufous-backed_Sibia
rufous_bellied_hawk_eagle,"棕腹隼雕","Rufous-bellied Hawk Eagle","Lophotriorchis kienerii",Rufous-bellied_Hawk_Eagle
rufous_bellied_niltava,"棕腹仙鹟","Rufous-bellied Niltava","Niltava sundara",Rufous-bellied_Niltava
rufous_capped_babbler,"红头穗鹛","Rufous-capped Babbler","Cyanoderma ruficeps",Rufous-capped_Babbler
rufous_gorgeted_flycatcher,"橙胸姬鹟","Rufous-gorgeted Flycatcher","Ficedula strophiata",Rufous-gorgeted_Flycatcher
rufous_headed_parrotbill,"红头鸦雀","Rufous-headed Parrotbill","Psittiparus bakeri",Rufous-headed_Parrotbill
rufous_throated_hill_partridge,"红喉山鹧鸪","Rufous-throated Hill Partridge","Arborophila rufogularis",Rufous-throated_Hill_Partridge
rusty_capped_fulvetta,"褐胁雀鹛","Rusty-capped Fulvetta","Schoeniparus dubius",Rusty-capped_Fulvetta
rusty_fronted_barwing,"栗额斑翅鹛","Rusty-fronted Barwing","Actinodura egertoni",Rusty-fronted_Barwing
sapphire_flycatcher,"玉头姬鹟","Sapphire Flycatcher","Ficedula sapphira",Sapphire_Flycatcher
scarlet_backed_flowerpecker,"朱背啄花鸟","Scarlet-backed Flowerpecker","Dicaeum cruentatum",Scarlet-backed_Flowerpecker
scarlet_faced_liocichla,"红翅薮鹛","Scarlet-faced Liocichla","Liocichla ripponi",Scarlet-faced_Liocichla
short_billed_minivet,"短嘴山椒鸟","Short-billed Minivet","Pericrocotus brevirostris",Short-billed_Minivet
siberian_stonechat,"黑喉石䳭","Siberian Stonechat","Saxicola maurus",Siberian_Stonechat
siberian_thrush,"白眉地鸫","Siberian Thrush","Geokichla sibirica",Siberian_Thrush
silver_breasted_broadbill,"银胸丝冠鸟","Silver-breasted Broadbill","Serilophus lunatus",Silver-breasted_Broadbill
silver_eared_mesia,"银耳相思鸟","Silver-eared Mesia","Leiothrix argentauris",Silver-eared_Mesia
slaty_blue_flycatcher,"灰蓝姬鹟","Slaty-blue Flycatcher","Ficedula tricolor",Slaty-blue_Flycatcher
slender_billed_oriole,"细嘴黄鹂","Slender-billed Oriole","Oriolus tenuirostris",Slender-billed_Oriole
small_niltava,"小仙鹟","Small Niltava","Niltava macgrigoriae",Small_Niltava
snowy_browed_flycatcher,"棕胸蓝姬鹟","Snowy-browed Flycatcher","Ficedula hyperythra",Snowy-browed_Flycatcher
speckled_wood_pigeon,"斑林鸽","Speckled Wood Pigeon","Columba hodgsonii",Speckled_Wood_Pigeon
spot_bellied_eagle_owl,"林雕鸮","Spot-bellied Eagle Owl","Bubo nipalensis",Spot-bellied_Eagle_Owl
spot_breasted_laughingthrush,"斑胸噪鹛","Spot-breasted Laughingthrush","Garrulax merulinus",Spot-breasted_Laughingthrush
streaked_spiderhunter,"纹背捕蛛鸟","Streaked Spiderhunter","Arachnothera magna",Streaked_Spiderhunter
striated_swallow,"斑腰燕","Striated Swallow","Cecropis striolata",Striated_Swallow
stripe_breasted_woodpecker,"纹胸啄木鸟","Stripe-breasted Woodpecker","Dendrocopos atratus",Stripe-breasted_Woodpecker
sultan_tit,"冕雀","Sultan Tit","Melanochlora sultanea",Sultan_Tit
velvet_fronted_nuthatch,"绒额䴓","Velvet-fronted Nuthatch","Sitta frontalis",Velvet-fronted_Nuthatch
verditer_flycatcher,"铜蓝鹟","Verditer Flycatcher","Eumyias thalassinus",Verditer_Flycatcher
wedge_tailed_green_pigeon,"楔尾绿鸠","Wedge-tailed Green Pigeon","Treron sphenurus",Wedge-tailed_Green_Pigeon
western_water_rail,"西秧鸡","Western Water Rail","Rallus aquaticus",Western_Water_Rail
whiskered_yuhina,"黄颈凤鹛","Whiskered Yuhina","Yuhina flavicollis",Whiskered_Yuhina
white_bellied_erpornis,"白腹凤鹛","White-bellied Erpornis","Erpornis zantholeuca",White-bellied_Erpornis
white_browed_piculet,"白眉棕啄木鸟","White-browed Piculet","Sasia ochracea",White-browed_Piculet
white_browed_scimitar_babbler,"灰头钩嘴鹛","White-browed Scimitar Babbler","Pomatorhinus schisticeps",White-browed_Scimitar_Babbler
white_cheeked_hill_partridge,"白颊山鹧鸪","White-cheeked Hill Partridge","Arborophila atrogularis",White-cheeked_Hill_Partridge
white_crested_laughingthrush,"白冠噪鹛","White-crested Laughingthrush","Garrulax leucolophus",White-crested_Laughingthrush
white_gorgeted_flycatcher,"白喉姬鹟","White-gorgeted Flycatcher","Anthipes monileger",White-gorgeted_Flycatcher
white_hooded_babbler,"白头鵙鹛","White-hooded Babbler","Gampsorhynchus rufulus",White-hooded_Babbler
white_rumped_shama,"白腰鹊鸲","White-rumped Shama","Copsychus malabaricus",White-rumped_Shama
white_tailed_flycatcher,"白尾蓝仙鹟","White-tailed Flycatcher","Cyornis concretus",White-tailed_Flycatcher
white_tailed_robin,"白尾蓝地鸲","White-tailed Robin","Myiomela leucura",White-tailed_Robin
white_throated_bulbul,"黄腹冠鹎","White-throated Bulbul","Alophoixus flaveolus",White-throated_Bulbul
white_throated_fantail,"白喉扇尾鹟","White-throated Fantail","Rhipidura albicollis",White-throated_Fantail
woolly_necked_stork,"白颈鹳","Woolly-necked Stork","Ciconia episcopus",Woolly-necked_Stork
wreathed_hornbill,"花冠皱盔犀鸟","Wreathed Hornbill","Rhyticeros undulatus",Wreathed_Hornbill
yellow_bellied_fantail,"黄腹扇尾鹟","Yellow-bellied Fantail","Chelidorhynx hypoxanthus",Yellow-bellied_Fantail
yellow_bellied_warbler,"黄腹鹟莺","Yellow-bellied Warbler","Abroscopus superciliaris",Yellow-bellied_Warbler
yunnan_fulvetta,"云南雀鹛","Yunnan Fulvetta","Alcippe fratercula",Yunnan_Fulvetta
little_spiderhunter,"长嘴捕蛛鸟","Little Spiderhunter","Arachnothera longirostra",Little_Spiderhunter
