# slug,chinese_name,english_name,scientific_name,wikipedia_page
silver_pheasant,"白鹇","Silver Pheasant","Lophura nycthemera",Silver_Pheasant
stejnegers_stonechat,"东亚石䳭","Stejneger's Stonechat","Saxicola stejnegeri",Stejneger's_Stonechat
fork_tailed_sunbird,"叉尾太阳鸟","Fork-tailed Sunbird","Aethopyga christinae",Fork-tailed_Sunbird
white_rumped_munia,"白腰文鸟","White-rumped Munia","Lonchura striata",White-rumped_Munia
scaly_breasted_munia,"斑文鸟","Scaly-breasted Munia","Lonchura punctulata",Scaly-breasted_Munia
eurasian_tree_sparrow,"麻雀","Eurasian Tree Sparrow","Passer montanus",Eurasian_Tree_Sparrow
olive_backed_pipit,"树鹨","Olive-backed Pipit","Anthus hodgsoni",Olive-backed_Pipit
buff_bellied_pipit,"黄腹鹨","Buff-bellied Pipit","Anthus rubescens",Buff-bellied_Pipit
richards_pipit,"田鹨","Richard's Pipit","Anthus richardi",Richard's_Pipit
grey_wagtail,"灰鹡鸰","Grey Wagtail","Motacilla cinerea",Grey_Wagtail
white_wagtail,"白鹡鸰","White Wagtail","Motacilla alba",White_Wagtail
brambling,"燕雀","Brambling","Fringilla montifringilla",Brambling
chinese_grosbeak,"黑尾蜡嘴雀","Chinese Grosbeak","Eophona migratoria",Chinese_Grosbeak
oriental_greenfinch,"金翅雀","Oriental Greenfinch","Chloris sinica",Oriental_Greenfinch
chestnut_eared_bunting,"栗耳鹀","Chestnut-eared Bunting","Emberiza fucata",Chestnut-eared_Bunting
little_bunting,"小鹀","Little Bunting","Emberiza pusilla",Little_Bunting
black_faced_bunting,"灰头鹀","Black-faced Bunting","Emberiza spodocephala",Black-faced_Bunting
