地点名称,时间段,观鸟点名称,访问人数,访问次数,大概鸟种数
北京,所有时段,北京市东城区天坛公园-生态科普园,28,35,22
北京,所有时段,昌平巩华城新城滨河森林公园及周边,28,34,41
北京,所有时段,景山公园,28,30,15
北京,所有时段,朱家湾村,28,28,40
北京,所有时段,将府公园,27,63,42
北京,所有时段,温榆河（孙河段）,27,32,39
北京,所有时段,北京西山国家森林公园,27,30,19
北京,所有时段,云岗森林公园,26,73,34
北京,所有时段,巩华城,26,43,26
北京,所有时段,圆明园遗址公园(海淀区清华西路28号),26,36,50
北京,所有时段,北京市国家植物园,26,33,44
北京,所有时段,天坛苗圃,26,32,24
北京,所有时段,幽州大峡谷(北京市门头沟区沿河城附近),26,26,37
北京,所有时段,明十三陵景区-水库上游河道（锥石口沟）,26,26,30
北京,所有时段,海淀区上庄镇东马坊村,25,90,46
北京,所有时段,宣武艺园,25,76,26
北京,所有时段,南海子麋鹿苑,25,26,43
北京,所有时段,马场,25,25,64
北京,所有时段,元大都城垣遗址公园,24,38,24
北京,所有时段,沙河水库（北沙河南岸）,24,33,52
北京,所有时段,天坛公园-科普园,24,28,21
北京,所有时段,门头沟沿河城,24,28,45
北京,所有时段,百望山282,23,69,39
北京,所有时段,北京园博园,23,55,53
北京,所有时段,北京市通州区北运河,23,30,37
北京,所有时段,百望山猛禽观测点,23,30,38
北京,所有时段,香山公园,23,28,26
北京,所有时段,玉渊谭公园,23,27,29
北京,所有时段,奥森公园南园,23,24,32
北京,所有时段,日坛公园,22,34,15
北京,所有时段,温榆河孙河河段,22,33,43
北京,所有时段,北京市东城区天坛公园,22,28,31
北京,所有时段,昌平区沙河翠明湖,22,26,33
北京,所有时段,玉渊潭 公园,22,26,34
北京,所有时段,奥森北园+南园,22,25,51
北京,所有时段,幽州大峡谷,22,25,24
北京,所有时段,北京市北京市东城区天坛公园-西门,22,24,25
北京,所有时段,密云北庄清水河(密云区芦北公路南50米),22,22,44
北京,所有时段,凤港减河,21,63,53
北京,所有时段,奥林匹克森林公园（北园）,21,26,38
北京,所有时段,城市绿心森林公园,21,24,36
北京,所有时段,巩华城沙河,21,24,50
北京,所有时段,玉渊潭,21,24,21
北京,所有时段,地坛公园,21,22,14
北京,所有时段,延庆区野鸭湖国家湿地公园(康野路西),21,22,66
北京,所有时段,石匣村,21,22,22
北京,所有时段,八渡桥,21,21,20
北京,所有时段,密云区不老屯镇学各庄村,21,21,42
北京,所有时段,密云区太师屯村,21,21,16
北京,所有时段,沿河城（永定河幽州大峡谷）,21,21,44
北京,所有时段,天坛公园(北京市东城区天坛东路甲1号),20,30,28
北京,所有时段,农展馆,20,27,33
北京,所有时段,全国农业展览馆（农展馆）,20,24,30
北京,所有时段,百望山森林公园秋季猛禽监测点,20,21,32
北京,所有时段,野鸭湖马场,20,21,81
北京,所有时段,拒马河十渡,20,20,37
北京,所有时段,龙潭中湖公园,20,20,17
北京,所有时段,中国科学院大学雁栖湖校区西区,19,58,34
北京,所有时段,东小口森林公园,19,48,38
北京,所有时段,萧太后河（田家府段）,19,28,43
北京,所有时段,全国农业展览馆,19,25,27
北京,所有时段,小龙门狗食槽,19,22,25
北京,所有时段,右堤路,19,21,32
北京,所有时段,绿堤公园,19,21,41
北京,所有时段,宛平湖-大宁水库,19,20,48
北京,所有时段,日坛公园(北京市朝阳区日坛北路6号),18,54,21
北京,所有时段,颐和园-昆明湖团城湖,18,25,43
北京,所有时段,园外园·中坞公园(北京市海淀区),18,23,23
北京,所有时段,奥林匹克森林公园北园西门,18,21,30
北京,所有时段,什刹海西海湿地公园,18,19,18
北京,所有时段,北京北海公园,18,19,21
北京,所有时段,北植,18,19,34
北京,所有时段,古北口镇,18,19,59
北京,所有时段,王家窝铺(北京市密云区),18,19,13
北京,所有时段,南海子二期,18,18,27
北京,所有时段,密云水库大小曹村库滨带,18,18,34
北京,所有时段,明十三陵风景区,18,18,32
北京,所有时段,北京市昌平区沙河水库,17,22,78
北京,所有时段,中山公园,17,21,20
北京,所有时段,沙河,17,21,39
北京,所有时段,玉渊潭公园东湖东岸,17,21,26
北京,所有时段,翠湖国家城市湿地公园,17,21,52
北京,所有时段,密云区高岭镇人民政府(高岭村政府路8号),17,19,28
北京,所有时段,朝阳区望京伯爵城中央公园(阜安西路南),17,19,11
北京,所有时段,颐和园(团城湖区域),17,19,24
北京,所有时段,昌平十三陵水库,16,34,58
北京,所有时段,昌平巩华城半岛周边,16,25,56
